,Strike,Dip,Rake,Misfit,Extra
7,48,38,-68,0.0147216628978,"[535, 'iasp91', 109916, array([ 0.98376973, -0.92463562, -0.53702692]), array([ 0.68452497, -0.63563033, -0.35693088])]"
18,70,50,-36,0.0197003941126,"[535, 'iasp91', 160032, array([ 0.98438104, -0.94389292, -0.50125315]), array([ 0.68452497, -0.63563033, -0.35693088])]"
19,72,52,-32,0.0216734634143,"[535, 'iasp91', 164634, array([ 0.98591478, -0.87387177, -0.50567607]), array([ 0.68452497, -0.63563033, -0.35693088])]"
12,60,42,-52,0.0249737411546,"[535, 'iasp91', 137124, array([ 0.98653625, -0.89052565, -0.47579141]), array([ 0.68452497, -0.63563033, -0.35693088])]"
24,78,64,-18,0.0269026735392,"[535, 'iasp91', 178741, array([ 0.98282279, -0.89180602, -0.46995222]), array([ 0.68452497, -0.63563033, -0.35693088])]"
15,66,46,-42,0.0320900994563,"[535, 'iasp91', 150829, array([ 0.98603232, -0.87556896, -0.54129799]), array([ 0.68452497, -0.63563033, -0.35693088])]"
9,54,40,-60,0.0333567517257,"[535, 'iasp91', 123520, array([ 0.9831811 , -0.98059193, -0.53205838]), array([ 0.68452497, -0.63563033, -0.35693088])]"
26,78,66,-16,0.0371997458329,"[535, 'iasp91', 178842, array([ 0.98068047, -0.91412359, -0.57020149]), array([ 0.68452497, -0.63563033, -0.35693088])]"
20,74,56,-28,0.0387157499284,"[535, 'iasp91', 169336, array([ 0.98143356, -0.99013989, -0.531712  ]), array([ 0.68452497, -0.63563033, -0.35693088])]"
8,50,38,-66,0.043228856972,"[535, 'iasp91', 114417, array([ 0.98705023, -0.8418738 , -0.46989948]), array([ 0.68452497, -0.63563033, -0.35693088])]"
10,56,40,-58,0.0447437049856,"[535, 'iasp91', 128021, array([ 0.98733785, -0.86401869, -0.44919545]), array([ 0.68452497, -0.63563033, -0.35693088])]"
29,80,76,-6,0.0499083749883,"[535, 'iasp91', 183847, array([ 0.98142751, -0.83676606, -0.44879679]), array([ 0.68452497, -0.63563033, -0.35693088])]"
14,64,44,-46,0.0501127594008,"[535, 'iasp91', 146227, array([ 0.98807282, -0.83137291, -0.46368574]), array([ 0.68452497, -0.63563033, -0.35693088])]"
13,62,44,-48,0.0502953915502,"[535, 'iasp91', 141726, array([ 0.98242436, -0.99547875, -0.58275992]), array([ 0.68452497, -0.63563033, -0.35693088])]"
21,76,58,-24,0.0505842465274,"[535, 'iasp91', 173938, array([ 0.98609675, -0.84118555, -0.44899602]), array([ 0.68452497, -0.63563033, -0.35693088])]"
23,76,60,-22,0.050855184278,"[535, 'iasp91', 174039, array([ 0.9826529 , -0.9022326 , -0.58866472]), array([ 0.68452497, -0.63563033, -0.35693088])]"
16,68,48,-40,0.051266024976,"[535, 'iasp91', 155430, array([ 0.98413872, -0.97560376, -0.46531684]), array([ 0.68452497, -0.63563033, -0.35693088])]"
1,32,36,-90,0.0532220392384,"[535, 'iasp91', 73805, array([ 0.985538  , -0.82167014, -0.46388109]), array([ 0.68452497, -0.63563033, -0.35693088])]"
31,80,78,-4,0.0539019011568,"[535, 'iasp91', 183948, array([ 0.98141687, -0.82154365, -0.4541119 ]), array([ 0.68452497, -0.63563033, -0.35693088])]"
4,36,36,-84,0.0540406787407,"[535, 'iasp91', 82808, array([ 0.98472899, -0.82125216, -0.52195636]), array([ 0.68452497, -0.63563033, -0.35693088])]"
28,80,74,-8,0.0575469409813,"[535, 'iasp91', 183746, array([ 0.98168519, -0.84881106, -0.42734545]), array([ 0.68452497, -0.63563033, -0.35693088])]"
6,46,38,-70,0.0587824577431,"[535, 'iasp91', 105415, array([ 0.98034211, -0.99879821, -0.60016893]), array([ 0.68452497, -0.63563033, -0.35693088])]"
0,30,36,-92,0.0606074240571,"[535, 'iasp91', 69304, array([ 0.98429275, -0.80719929, -0.5156971 ]), array([ 0.68452497, -0.63563033, -0.35693088])]"
11,58,42,-54,0.060622571211,"[535, 'iasp91', 132623, array([ 0.98143793, -1.03176501, -0.57457919]), array([ 0.68452497, -0.63563033, -0.35693088])]"
5,38,36,-82,0.0617166617788,"[535, 'iasp91', 87309, array([ 0.9865641 , -0.80373217, -0.46938722]), array([ 0.68452497, -0.63563033, -0.35693088])]"
32,80,80,-4,0.0621613971453,"[535, 'iasp91', 184048, array([ 0.97491165, -0.960176  , -0.43734685]), array([ 0.68452497, -0.63563033, -0.35693088])]"
17,68,48,-38,0.0635218237205,"[535, 'iasp91', 155431, array([ 0.98514772, -0.87636373, -0.59733299]), array([ 0.68452497, -0.63563033, -0.35693088])]"
33,80,80,-2,0.0647773960145,"[535, 'iasp91', 184049, array([ 0.98163292, -0.80494003, -0.4430173 ]), array([ 0.68452497, -0.63563033, -0.35693088])]"
30,80,78,-6,0.0667645151354,"[535, 'iasp91', 183947, array([ 0.97478903, -0.9769612 , -0.44016978]), array([ 0.68452497, -0.63563033, -0.35693088])]"
34,80,82,-2,0.0688411239964,"[535, 'iasp91', 184149, array([ 0.97523885, -0.94320199, -0.41801183]), array([ 0.68452497, -0.63563033, -0.35693088])]"
22,76,60,-24,0.0689419266052,"[535, 'iasp91', 174038, array([ 0.97867897, -1.03924688, -0.49990011]), array([ 0.68452497, -0.63563033, -0.35693088])]"
3,34,36,-86,0.0698507050531,"[535, 'iasp91', 78307, array([ 0.98289826, -0.82965794, -0.57356199]), array([ 0.68452497, -0.63563033, -0.35693088])]"
2,34,36,-88,0.0731063838802,"[535, 'iasp91', 78306, array([ 0.98678472, -0.82699842, -0.41216158]), array([ 0.68452497, -0.63563033, -0.35693088])]"
25,78,66,-18,0.0796020570987,"[535, 'iasp91', 178841, array([ 0.9753926 , -1.06188963, -0.50551492]), array([ 0.68452497, -0.63563033, -0.35693088])]"
27,80,72,-10,0.0797684226797,"[535, 'iasp91', 183645, array([ 0.98218968, -0.8559159 , -0.39021789]), array([ 0.68452497, -0.63563033, -0.35693088])]"
